"_id","url_list__001","url_list__002","url_list__003","url_list__004","url_list__005","url_list__006","url_list__007","url_list__008","url_list__009","url_list__010","url_list__011","url_list__012","name","feature__Birth Nation","feature__City","feature__DucksterPersonImageUrl","feature__DucksterPersonImagePath","feature__DucksterPersonImageName","feature__Status","feature__Birthplace","feature__Notableworks","feature__Spouse/Ex-","feature__Educational Qualification(s)","feature__HT/WT","feature__Class","feature__Homecity","feature__Highschool","feature__Exp","feature__Affiliation at the time of the award","feature__Position/Rank","feature__Burial","feature__FirstName","feature__Fields","feature__Ex-Partners","feature__instance of","feature__Gender","feature__name in native language","feature__Also Known As","feature__Fellow of the Royal Society ID","feature__image","feature__AcademicFiled","feature__Art UK artist ID","feature__Family Data","feature__Subtitle","feature__Contact Information","feature__wiki","feature__2019","feature__family","feature__house","feature__twins names","feature__zachary","feature__son macallister","feature__Spouses","feature__Wife","feature__Title","feature__DOB","feature__Jobtitle","feature__Vice President","feature__Father","feature__Rotten Tomatoes","feature__iTunes","feature__Food Habit","feature__Salary (approx_)","feature__Eyecolor","feature__Politician(s)","feature__Instagram","feature__LastName","feature__Height / How tall","feature__SunSign","feature__Institutions","feature__DoctoralAdvisor","feature__Prize share","feature__DoctoralStudents","feature__Employer","feature__ImdbPersonImagePath","feature__Religion","feature__Maritalstatus","feature__Role","feature__BritannicaPersonImageName","feature__BritannicaPersonImagePath","feature__Celebrated Name","feature__Deathdate","feature__Kobe Bryant","feature__Haircolor","feature__Party","feature__College/University","feature__Personality","feature__Prize motivation","feature__award received","feature__Website","feature__U_S_ State","feature__Biggest Rival","feature__political ideology","feature__Affiliation","feature__Encyclopædia Britannica Online ID","feature__Height","feature__Draft Info","feature__Board member of","feature__MaritalStatus","feature__TwitterID","feature__Who","feature__BirthDate","feature__FreebaseID","feature__Commons category","feature__Famous","feature__Book(s)","feature__Height (approx_)","feature__Awards","feature__Deathplace","feature__Marriage(s)","feature__Presidential Salary","feature__AlmaMater","feature__Thesis","feature__Country","feature__Ethnic","feature__Nationality","feature__Twitterid","feature__Food","feature__Library of Congress authority ID","feature__Boards she sits on","feature__Wikipedia Profile","feature__ImdbPersonImageName","feature__Residence","feature__Age","feature__Genres","feature__Birthdate","feature__Years Active","feature__Film(s)","feature__Almamater","feature__Mother","feature__Age (as in 2019)","feature__44th President of the United States","feature__Educationalqualification","feature__Profession(s)","feature__Airplane/Helicopter Collection","feature__Age at Inauguration","feature__Birthname","feature__Height (Approx_)","feature__Years active","feature__Firstname","feature__Weight (Approx_)","feature__Lastname","feature__Labels","feature__Sunsign","feature__Death-O-Meter","feature__Homestate","feature__described by source","feature__Lucky Color","feature__Past position","feature__HairColor","feature__Nickname","feature__Salary","feature__Successor","feature__BIographyPersonImageName","feature__Wife/Spouse","feature__Institution","feature__Instagram Profile","feature__BirthCountry","feature__Qualification","feature__NetWorth","feature__BritannicaPersonImageUrl","feature__languages spoken, written or signed","feature__Best Match for Marriage","feature__BirthPlace","feature__Family","feature__Precededby","feature__PersonName","feature__Nobel prize ID","feature__Encyclopædia Universalis ID","feature__Commons Creator page","feature__DeathDate","feature__Resting place","feature__Benezit ID","feature__DeathPlace","feature__WikiTree person ID","feature__Artnet artist ID","feature__Lucky Stone","feature__Weight","feature__Name at birth","feature__Authored Lean In","feature__BirthName","feature__EyeColor","feature__Born","feature__BIographyPersonImagePath","feature__BiographyPersonImageUrl","feature__Height [2] The Guardian","feature__Quote","feature__45th President","feature__IMDb","feature__Instruments","feature__Age at first & last AFL game","feature__College","feature__Net Worth (approx_)","feature__Hobbies","feature__Youtube","feature__Facebookid","feature__Fullname","feature__Marriagedate","feature__Bike Collection","feature__Heightandweight","feature__State of origin","feature__Debut","feature__exact match","feature__NKCR AUT ID","feature__NNDB people ID","feature__Children","feature__Age at Death","feature__Years Served as President","feature__GND ID","feature__Relatives","feature__Parents","feature__relatedfactsanddata","feature__Death","feature__Memorial ID","feature__ImdbPersonImageUrl","feature__Networth","feature__Causeofdeath","feature__FounderOf","feature__FullName","feature__Education","feature__Source of Wealth","feature__Occupation"
"ObjectId(""5d9076783bfe3209800c4c0c"")","https://www.imdb.com/name/nm3217677/bio","http://www.bornrich.com/marissa-mayer.html","https://marriedwiki.com/wiki/marissa-mayer","http://superbhub.com/biography/marissa-mayer-net-worth-early-life-education-career-allegations-awards-and-personal-life/","https://www.mercurynews.com/2012/07/17/2012-yahoo-ceo-marissa-mayers-bio-stanford-to-google-to-yahoo/","https://www.britannica.com/biography/Marissa-Mayer","https://www.diffen.com/difference/Marissa_Mayer_vs_Sheryl_Sandberg","https://www.who2.com/bio/marissa-mayer/","https://marriedbiography.com/marissa-mayer-biography/","https://www.forbes.com/profile/marissa-mayer/","https://latestcelebnetworth.com/marissa-mayer-net-worth/","https://en.wikipedia.org/wiki/Marissa_Mayer","Marissa Mayer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zachary Bogue ( m. 2009)","","Marissa Mayer","","","","","","","","","","","","Mayer","5 feet 8 inches (1.73m)","Gemini","","","","","Yahoo! Facebook","D:\work\2019\2019.9\personSearch_refactor-master\Structure_Info_extract\Image\imdb\Marissa_Mayer_Poster.jpg","Lutheran Judaism","","","Mayer,_Marissa","D:\work\2019\2019.9\personSearch_refactor-master\Structure_Info_extract\Image\britannica\Mayer,_Marissa.jpg","","","","","","","","","","","","","","","","5 ft 8 in (1.73 m)","","Cooper–Hewitt  National Design Museum New York City Ballet Jawbone  San Francisco Ballet San Francisco Museum of Modern Art Walmart","Married","https://twitter.com/marissamayer?lang=en","Yahoo CEO Marissa Mayer","May 30  1975","","","The early Google employee who became CEO of Yahoo in 2012","","","","","","","Stanford University","","","Finnish","United States","","","","San Francisco Museum of Modern Art, San Francisco Ballet, New York City Ballet, Wal-Mart Stores","https://en.wikipedia.org/wiki/Marissa_Mayer","Marissa_Mayer_Poster","San Francisco Palo Alto  California  U.S.","44 years old","","","","","","","","","","","","","","","","","","","","","","","","Yellow","Vice president of local, maps and location at Google; previously, vice president for search products and user experience","Blonde","","","","","","","https://www.instagram.com/marissamayer/?hl=en","United States","BS in symbolic systems  MS in computer science","US$ 620 million  (2019)","https://cdn.britannica.com/s:300x300/31/163931-050-B5BACCF3/Techie-Marissa-Mayer-Yahoo.jpg","","Leo  Aquarius  Libra","Wisconsin  USA","","","","","","","","","","","","","Agate","58 Kg","Marissa Ann Mayer Sheryl Kara Sandberg","- Women  Work and the Will to Lead (co-authored by Nell Scovell)","Marissa Ann Mayer","Blue","Marissa Ann Mayer ( 1975-05-30 ) May 30  1975 (age 44) Wausau  Wisconsin  U.S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/M/MV5BMTQyMzcyMjE3MV5BMl5BanBnXkFtZTcwMTQ1ODcxOA@@._V1_UX67_CR0,0,67,98_AL_.jpg","","","Lumi Labs","Marissa Mayer","Bachelor of Arts/Science  Stanford University  Master of Science  Stanford University","Google  Yahoo  Self Made","Co-founder  Lumi Labs"
"ObjectId(""5d9076783bfe3209800c4c0d"")","https://www2.bing.com/entityexplore?q=marissa+mayer%27s+daughter+marielle+bogue&filters=ufn%3A%22marissa+mayers+daughter+marielle+bogue%22+sid%3A%2208493f4b-51a1-4b5b-9e21-4b0348a406ba%22+catguid%3A%225568bf51-327c-9be0-2338-c4425de5c0c3_2e510106%22+segment%3A%22generic.carousel%22&eeptype=EntityFull&FORM=SNAPST","","","","","","","","","","","","Marissa Mayer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","marissa mayer","marissa mayer","marissa mayer","marissa mayer","marissa mayer","bogue's daughter marielle bogue","marissa mayer'sbogue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5d909bfb3bfe323474d9e55f"")","https://www.whistler.arts.gla.ac.uk/correspondence/people/biog/?bid=Peel_JT&initial=P","","","","","","","","","","","","Thomas Peele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822.04.11","","","","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peterborough","","","","","","","1897.05.19","","","London","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5d909bfb3bfe323474d9e560"")","https://clustrmaps.com/persons/Thomas-Peele","","","","","","","","","","","","Thomas Peele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Relatives  Associates  Neighbors  Marriage & Divorce Records","Full Name  Age  Job and Education Records","Phone Number  Email and Address History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ObjectId(""5d909bfb3bfe323474d9e561"")","https://en.wikipedia.org/wiki/John_Thomas_Peele","","","","","","","","","","","","Thomas Peele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Portraits and genre subjects","","","","","","","","","","","British","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822 Peterborough  Northamptonshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1897 England","","","","","","","National Academy of Design","",""
"ObjectId(""5d909bfb3bfe323474d9e562"")","https://commons.wikimedia.org/wiki/Category:John_Thomas_Peele","https://www.wikidata.org/wiki/Q16059805","","","","","","","","","","","Thomas Peele","","","","","","","","","","","","","","","","","","","John","","","human","male","","","","2,055 × 2,476 3.12 MB|John Thomas Peele, ""Self-Portrait,"" 1846.jpg","","peele-john-thomas-18221897","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11 April 1822|Gregorian","","John Thomas Peele","","","","","","","","","","","","United States of America","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peterborough","","","","","","John Thomas Peele","19 May 1897|Gregorian","","B00137751","London","Peele-14","john-thomas-peele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","painter"
"ObjectId(""5d909d2d3bfe32236876cd27"")","https://alchetron.com/Dana-Scott","https://acinemaaz.com/dana-scott-net-worth-net-worth/","https://en.wikipedia.org/wiki/Dana_Scott","","","","","","","","","","Dana Scott","","","","","","","","","","","","","","","","","","","Dana","Computer science Mathematics Philosophy","Not Available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scott","","Libra","University of California  Berkeley Stanford University of Oxford Carnegie Mellon University","Alonzo Church","","Jack Copeland Michael Fourman Kenneth Kunen Angus Macintyre Ketan Mulmuley Marko Petkovšek Fred S. Roberts David Turner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","October 11  1932","","","Automata theory semantics of programming languages modal μ-calculus Scott's trick Scott–Potter set theory","","","","","","","B.A. (mathematics) 1954  University of California  Berkeley Ph.D. 1958  Princeton University","Convergent Sequences of Complete Theories  (1958)","United States","","","","","","","","","","85 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","( 1932-10-11 ) October 11  1932 (age 86) Berkeley  California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B.A. (mathematics) 1954 University of California  Berkeley Ph.D. 1958 Princeton University","","Mathematician"
"ObjectId(""5d909d2d3bfe32236876cd28"")","https://abuse.wikia.org/wiki/Rachel_Scott","","","","","","","","","","","","Dana Scott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","August 5  1981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IDK?","","","","","","","April 20  1999","Columbine Memorial Gardens at Chapel Hill Cemetery Littleton  Colorado Template:Coord/display/inline","","Columbine  Colorado  United States","","","","","","","","","Rachel Joy Scott August 5  1981 ( 1981-08-05 )","","","","","","","","","","","","","","","","","","","","","","","","","","","Dana Scott (b. 1976)  sister Mike Scott (b. 1984)  brother Craig Scott (b. 1983)  brother Bethanee McCandless (b. 1975)  sister","Beth Nimmo and Darrell Scott (b. 1949)","","April 20  1999 ( 1999-04-20 ) (aged 17) Columbine High School Columbine  Colorado  United States","","","","","","Scott  Rachel","","",""
"ObjectId(""5d909d2d3bfe32236876cd29"")","https://www.findagrave.com/memorial/102982051/dana-scott-volanti","","","","","","","","","","","","Dana Scott","","","","","","","","","","","","","","","","","","Mills and Mills Memorial Park Tumwater Thurston County Washington USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17 Sep 1963 Anchorage  Anchorage Borough  Alaska  USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8 Jan 1999 (aged 35) Seattle  King County  Washington  USA","102982051 · View Source","","","","","","","",""
"ObjectId(""5d909d2d3bfe32236876cd2a"")","https://suits.fandom.com/wiki/Dana_Scott","","","","","","","","","","","","Dana Scott","","","","","","","","","","","","","","","","","Name Partner Senior Partner","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","New York  New York London  England (formerly)","","","","","","","","","","","","","","","","","","","","","","","","","","","Dark brown","Scottie Pussy Galore (by Jessica Pearson ) Little Miss Bullshit (by Louis Litt )","","","","","Unknown law firm Pearson Specter (formerly) Pearson Darby Specter (formerly) Pearson Darby (formerly) Darby International (formerly)","","","","","","","","","","","","","","","","","","","","","","","","","","Brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Corporate Attorney"
